Sentence,Emotion,score
tây cũng lầy phết,Surprise,0
thanh niên leo lên cao để theo dõi thời tiết để thông báo cho người dân đi cấy thật cảm động,Enjoyment,0
bao năm giải phóng như thế này phải không anh,Other,0
vẫn nhớ ngày đầu . lần đầu em có cảm giác được che chở như vậy :))),Enjoyment,0
"cưỡng hôn thì phạt 200 . lừa đảo , chiếm đoạt phạt nhằng 5 cu ( củ ).",Disgust,3
bà mẹ nó @@ xem rùng con mẹ nó mình hơn cả phim ma .,Fear,1
"mình nhận thấy hình như ông ấy đang rất đau khổ , mà không thể or không muốn nói ra .",Sadness,2
coi ảnh này nổi cả gai ốc,Fear,1
tao cười ỉa cho cái bọn ấy :))),Enjoyment,0
"đúng rồi đấy , như thế là đang mắc chứng ảo tưởng sức mạnh",Disgust,3
sừng mọc hồi nào không hay,Other,0
câu này thấy sai sai,Other,0
não bằng đá . không cần phải đội nón,Other,0
các bạn đéo biết được đâu vì các bạn đbh gặp thì lsao các bạn biết được mấy con mụ già đi mất dạy như thế nào . đm cậy mình già là muốn đi thế đéo nào cũng được ý . đi sai xong chửi người ta mới vãi chứ dume có ngày đâm vào người ta chết có ngày ở đấy mà già mồm . cứ kêu người ta lớn tuổi hơn phải thế này tno nhưng có lớn mà đéo có học thì cũng đéo là cái gì,Disgust,3
"cái thứ 2 mình thấy lạ lòn , bạn gái người ta ăn , quên chỉnh tóc . người ta chỉnh lại tóc dùm bạn gái mắc gì 2 đứa nó thái độ 😑😑",Disgust,3
"không chỉ bướng , mà còn rất lười :(",Disgust,3
"nói gì , em trai tao cắt tóc xong là tao đè nó ra chụp hình . cảm thấy nó cắt tóc xong là đứa nào chứ không phải em tao =)))))",Enjoyment,0
đáng yêu vãi =))))),Enjoyment,0
xạo xạo ... thằng cải suốt ngày bị nó dụ,Disgust,3
khi mày dốt ngữ văn nhưng vẫn thích nói những câu đạo con mẹ nó lý,Disgust,3
"học luật chưa mà nhắc sai về lí ? :3 , có cái nhà đấy là đường của nhà ông à :))",Disgust,3
kể mà nó biết cử độg vẫy vẫy nữa thì tuyệt con mẹ nó vời ??????,Other,0
nhện to đến nổi chúng mày giật cả mình à :),Surprise,0
cho dân nhậu đi lùa 1 hôm thì đến con tép còn đéo còn nữa là hùm đất :)),Disgust,3
đù . bọn nuôi chó mà ve còn không bắt được cho nó thì đừng nên nuôi . bực,Anger,4
bản thân quá hạnh phúc khi trong cs này rất . rất nhiều người mơ ước được như mình hiện tại . 😊😊😊,Enjoyment,0
gà này cho chó ăn mà . bọn mất dậy vì tiền nó giết chết dần chết mòn con nhà nghèo . địt bố bọn mắt dậy,Anger,4
per cái mặt nhỏ đó gióng em :)) khi nghe tiếng súng,Other,0
bài viết đọc rất sướng .,Enjoyment,0
dume dăm ba cái đứa lông còn chưa mọc đủ bày đặt thể hiện con cặc gì không biết . thêm bà cô giáo óc chó + lão chủ sân nữa,Anger,4
"ngày xưa tự dưng mình được tận 8 , 75 ư =))))",Surprise,0
gãy tay,Sadness,2
đợi nốt ván đã =)))))))),Enjoyment,0
"nhớ quá , độ chục năm không đi soi ve rồi :((((",Sadness,2
t đã soi gương suốt ngày chỉ để gặp crush và ngắm nụ cười tỏa nắng của nó,Enjoyment,0
per hồi đó mua điểm đại học nè 😂😂😂,Enjoyment,0
dume mất dạy,Anger,4
nào chàng trai có nhiều tài hãy cho em gục ngã đi nào =)),Enjoyment,0
nó chỉ là phép lịch sự . ngưng ảo tưởng nha nha,Disgust,3
đm chạy ra xa mà viết đi 😈,Anger,4
"thằng tàu hoả lái dở , thấy xe đậu thì đánh lái né ra đường ray thi đâu có va chạm hư ô tô",Disgust,3
người ta thôi chứ vợ mình là số 1 . mình chưa bao giờ chê . 😍😍😍,Enjoyment,0
"mê chơi lọt cóng nè , nhìn vẻ mặt hp của nó mình cũng thấy vui theo",Enjoyment,0
"và cứ mỗi lần mày muốn thấy crush cười , mày lại chạy lại cái gương",Enjoyment,0
kinh dị vãi,Disgust,3
mẹ cái lũ thầu nấu ăn cho trẻ con . ai cũng bảo chúng mày nấu 1 năm có có hàng tỉ tiền . mẫu giáo còn hại được thì cấp 1 tha gì .,Anger,4
per sau này con bư lớn cũng vậy đó mẹ hahaa,Enjoyment,0
phim hay vãi ra . đến giờ vẫn thấy mình giống bạn ma nữ quá trời 😂😂😂,Enjoyment,0
per nuôi đi anh còn kịp chả già mất 😂,Enjoyment,0
per thông minh là đây chớ đâu,Enjoyment,0
t đã cố tình che mặt nhưng vẫn giật mình,Fear,1
sư tử chứ dễ thương q . q gì,Fear,1
"mưa sấp mặt , về đi",Disgust,3
nhìn biến thái kinh khủng .,Disgust,3
tầm tuổi này . họ không còn những áp lực cuộc sống nữa . mà chỉ còn thứ tình cảm gắn bó với họ từ những ngày khó khăn nhất . ngưỡng mộ và ước được chút phúc đức của ông bà,Enjoyment,0
sếp như nào nữa còn sếp tôi thì như lònnnnnnn,Disgust,3
per tao nói rồi nha địt con mẹ mày,Anger,4
bình tĩnh vô cùng,Other,0
haha . dễ thương gê 😊😘😘,Enjoyment,0
thiết bị này mua như nào nhỉ,Other,0
cậu bạn mẫu giáo năm ấy chép bài cho tao để tao khỏi bị thẻ tay giờ đang nơi đâu ???,Sadness,2
thật là một câu chuyện buồn 😌,Sadness,2
ng dân biết phải làm sao bệnh chồng bệnh,Sadness,2
em đừng đi tập gym em nhé . bth em đã mê trai lắm rồi . em mà đi tập nữa chị không biết em như thế nào luôn 😢 per,Fear,1
nếu là tao thì nhảy cẩng lên chuẩn mẹ rồi :)) má nhìn trong hình tưởng ma thật ở ngoài đéo biết như lào luôn ớ,Fear,1
"con yêu nghiệt , tỏ cái vẻ đáng thương còn ăn vạ =)))",Disgust,3
cuộc tình ngang trái của nhà tớ đây ??,Other,0
"thấy bình sữa của em thấy ham quá , chị sinh em bé chả có sữa gì hết .",Sadness,2
"úi sời , gần chỗ mình này",Enjoyment,0
vừa sếp vừa đồng nghiệp tốt thì đi làm như là đi chơi 💃 bonus 6h chưa hẳn đã muốn về,Enjoyment,0
"tao toàn thế giận tao tao dỗi lại , lại phải dỗ tao . hahahaha",Enjoyment,0
per vui quá .. đi dạo được ven hồ rồi 🙂,Enjoyment,0
per cảm ơn tôi đi . thấy tầm quan trọng của máy chém gió chưa,Enjoyment,0
cấm đỗ là việc của công an,Other,0
"tao ước gì gặp được cái thằng chế ra con xe lead , tao sẽ tán cho nó sấp mặt luôn . 😒 còn video này tao hóng mãi lúc nó so ... mà đéo thấy haha",Anger,4
nghe nguồn tao biết được độ chân thực của câu chuyện rồi 😂😂😂,Enjoyment,0
"mấy thành phần không chấp hành luật giao thông cứ phải thế này . cơ mà thằng này gà thật , tạt mẹ vào quán nước mà ngồi uống chứ làm gì phải dắt xe khổ thế kia",Disgust,3
per giải trí =))),Enjoyment,0
< 3 chuyện lạ có thật :))),Enjoyment,0
cười vô mặt,Enjoyment,0
cuộc sống mà .. ghi không được thì thôi . sao mấy bạn chửi người ta dữ vậy,Other,0
per kỉ niệm nhất là những ngày trốn học cùng nhau đi xem phim 😂😂😂,Enjoyment,0
đau bụng quá ự ự,Sadness,2
lợi ích của việc giữ vững quan điểm 😄,Enjoyment,0
thế này mà mày vẫn còn buồn thì ...,Sadness,2
thấy mà nhớ lại quá . lúc còn sinh viên . di làm thêm ở quán kara . đm tụi nó tổ chức sinh nhật . rồi bày ra trang trí để tỏ tình . rồi quà bỏ xốp hột không trong đó . vừa xốp . vừa đèn cầy . vừa kim tuyến . bia . đồ ăn đồ . làm buổi có 40k mà dọn đúng là như thèn này chửi . dọn mún lòa lozzz ra lun . ức chế lắm,Disgust,3
sáng nay tao mới thấy 2 con này đi cùng,Other,0
bạn trai tao đéo biết giận dai nên không phải dỗ,Enjoyment,0
tại sao lại phải che mặt vậy,Surprise,0
án mà cứ xử như vậy thì sao có được lòng dân,Sadness,2
thế tao mới quyết tâm tìm ra facebook thật của nó để no hết đường lừa các em mới lớn đó,Disgust,3
sợ ngỗng còn hơn sợ chó :))),Fear,1
"vậy thì tao sẽ ước mơ là các nhà thơ đừng bao giờ xài ẩn dụ , chơi chữ :) đã ngu văn còn bắt phân tích thấy mẹ luôn",Disgust,3
nhiê ̀ u biê ́ n đô ̣ người kha ́ thu ́ vi ̣ =)),Enjoyment,0
"thương tra ̀ o nươ ́ c mă ́ tao ... cuô ́ i cu ̀ người thi ̀ ban la ̃ nh đa ̣ o bă ́ c ninh đa ̃ lên tiê ́ người giu ́ p đơ ̃ ca ́ c be ́, du ̀ qua ́ muô ̣ n @",Sadness,2
lấy giẻ lau xong vắt chắc cũng được nửa,Other,0
ngày xưa mừn cũng hay thế lắm .,Enjoyment,0
chắc nó se lạnh thì đừng hỏi tại sao thằng kia lấp nhíp sưởi ấm cũng không thấy .,Other,0
phận làm trai nào sung sướng gì 😂,Sadness,2
"hôm nay ai có vàng bán hết đi , tuần sau mua lại , lời vãi .",Enjoyment,0
kính thủy lực là kính gì bạn ơi,Other,0
chưa bao giờ được nge câu này 😞,Sadness,2
nam chính người nào cũng bị bệnh tự luyến nữa :))))))),Disgust,3
"cũng chuẩn , giờ khởi nghiệp vậy phá sản chỉ mấy tháng đầu",Enjoyment,0
chỗ tao lắm đứa khó chịu vãi,Disgust,3
"tất cả là do chính sách sai lầm của những người đứng đầu tỉnh sơn la . tsb cao su nó phù hợp trồng ở cao nguyên + nhiệt đới nắng lắm chứ lên tây bắc lạnh giá + sương muối thì cây cao su làm sao nó sinh trưởng tốt và hợp khí hậu được mà chả trắng tay :))) còn cả cây cafe đang được trồng ở sơn la , điện biên nữa sớm muộn gì những người dân trồng hai loại cây này cũng nhận trái đắng trắng tay thôi",Disgust,3
quá giỏi . đạp đến ngất đi mà không quay đầu . sau này em sẽ thành công . chắc chắn vậy,Enjoyment,0
vừa đi về ?? mưa sấp mặt,Disgust,3
bài viết hay quá !,Enjoyment,0
gì cũng được ?????? dễ vãi,Enjoyment,0
đã năm 2000 . người ta cho mượn 200 tr rồi .. từ đó về sau nhà người ta có cần 25 tr / tháng hay không ???,Other,0
ôi cháu taooo =)))),Enjoyment,0
nó chỉ muốn chén mày thôi . thật đấy,Other,0
"cô giáo ngu bỏ mẹ , xong được bầy hãm lòn trẻ trâu này nữa , kia là em tao , không biết tao sẽ làm gì bọn khốn nạn này nữa :))",Anger,4
haizzzz đó là 1 câu chuyện khá bùn,Sadness,2
"chồng này chắc cú có gai ah , mặc quần đéo gì vậy",Disgust,3
"haa ... haa ... ! đúng là có thay đổi lớn ! ngồi nhâm nhi ly cafe , phì phèo điếu thuốc nhìn thiên hạ cũng vui kkk ... !",Enjoyment,0
nhưng nó cười với đứa khác không phải mày .... 💔,Sadness,2
per anh ơi đừng gym nữa . boxing là đụ rùi :((,Sadness,2
đừng có thấy 6 múi mà ham nha nha 😂😂,Enjoyment,0
thật ra mấy đứa bị chửi nhiều thế này ra đời lại biết cư xử hơn những đứa khác .,Other,0
muốn nói bậy ghê :)))) nuôi con chó mà nuôi ra vậy . vừa ôm vừa bị ve,Anger,4
- mấy bạn đừng có đổ mình nữa nha 😞😞. mình ngại lắm 😞🤣,Enjoyment,0
tại sao anh cứ mất công giận dỗi trong khi người xin lỗi vẫn là anh =)),Enjoyment,0
chúc mừng các anh . các anh giỏi quá . chuc các anh mạnh khỏe .,Enjoyment,0
per hóng phim này dụ dỗ mọi người xem tiếp nè anh :v,Enjoyment,0
ngày chủ nhiệm cu nhà mình cô nhẹ nhàng nết na lắm mà ! giờ thì sao cô lại hành xử như vậy chứ ! thật buồn !,Sadness,2
"nhớ hồi euro 2012 rực sáng trong màu áo tuyển ý , ghi mấy bàn mà bàn nào cũng thấy phê .",Enjoyment,0
đáng yêu vại trời,Enjoyment,0
kéo nhau ra toà ly hôn tự nhiên béo ngành thuế,Disgust,3
ai sẽ cùng tôi mang nỗi đau này cơ chứ,Sadness,2
ngu thì mới đi vào phủ dầy nhé chứ chợ đâu đến mức như vậy ??????,Disgust,3
sĩ diện không nội mũ và cái kết dắt xe hết mẹ đoạn đường,Other,0
"vietcombank 1 tháng trừ hết 22k phí inter với mobile banking , dù tháng đó kau chả xài tới cái nào :((",Sadness,2
nói thật gia lai nói riêng tây nguyên nói chung xưa nhờ vàng đen '' hồ tiêu ' và vàng trắng ' cao su ' mà người dân có dư cái ăn cái mặt bây giờ thì thua rồi bỏ đi tứ xứ .. một thời,Sadness,2
đúng rồi . trái tim thảo mai này dễ rung động lắm nên các anh hay cả các chị và các bạn đừng thả thính em . em đập cho 😭,Anger,4
nhưng nó lại đéo thích :>,Other,0
ngu thì chết thôi,Disgust,3
nói chung là ai nào buông tay thì người chết vẫn là mấy đứa con gái như tao 😭,Sadness,2
nhớp nhúa,Disgust,3
"muôn đời không khá được vì cái thói tham vặt , tham lam vô đáy việt nam ạ",Disgust,3
"ngày xưa đi học gần trường có bày ngỗng , hôm nào nó cũng cà khía rượt tụi học sinh chạy sấp mặt luôn",Fear,1
sao lại bất công thế,Sadness,2
nó đi theo gái thì co,Disgust,3
là gặp đúng người nhưng lại chẳng đúng thời điểm . cuối cùng vẫn là chúng ta bỏ lỡ nhau 😥😥😥,Sadness,2
chuẩn khi người ta gặp nạn không lo cứu đứng lấy dt ra quay rùi đăng kẻ đó mới là người cần lên án,Disgust,3
chia buồn cùng nước pháp .,Sadness,2
con nhà mất dạy,Disgust,3
sau này mình có được như vầy không nhỉ 😊,Other,0
1 % kìa rồi ra cổng gọi thế nào :)),Fear,1
lúc dỗi thì càng dễ thương hơn,Enjoyment,0
hình vui mà sao đọc lại muốn khóc nhĩ ...,Sadness,2
cách tạo nghiệp chướng nhanh và hiệu quả :)),Enjoyment,0
trông mặt buồn chưa kìa per :(,Sadness,2
giá như anh được ào rơi về quá khứ ....,Other,0
tao thì muốn là đéo bao giờ . nhưng mẹ tao thì muốn ngay bây giờ 😢,Sadness,2
đã tới tuổi thay đường ray rồi mà không thay,Other,0
chuột mà làm như người vậy .. ít hôm nó gặm cả rắn cả dây thì thấy mẹ ..,Fear,1
cái quần tà lỏn xanhhhh,Other,0
thật tình mà nói cao su phát triển đất đồi là sai lầm .,Other,0
mấy bé đừng tưởng giận lại là ngon ạ :v có khi giận lại xog nó giết luôn đấy :),Other,0
per mốt mua son anh sài luôn,Other,0
"per bất hạnh thật tao với mày mua bánh ăn chung đi , cóc cần gấu 🤨",Anger,4
tội quá ! nuôi mà không chăm sóc,Sadness,2
không phải ai cũng vậy nên đừng thấy mập rồi tưởng mình hát hay 😌,Disgust,3
bao giờ mua bánh tặng gấu thì tao mới mua nhá . ở đấy mà chê tao bất hạnh,Anger,4
rất nguy hiểm nhé nhảy không qua là xác định dập mặt,Fear,1
đm nhà bà . con gái người ta nuôi lớn không báo đáp được gì đã về làm dâu nhà bà . nó lấy chồng chứ có làm giúp việc cho nhà bà đâu mà hành hạ nó thế .,Anger,4
"xã hội thật phức tợp , huhu . không muốn sống chung loài người nữa , tao về núi đây",Fear,1
đã khóc . cha mẹ là người luôn yêu thương minh nhất,Sadness,2
không lo chạy bo đi còn tạo sấm sét doạ người lứa,Disgust,3
ngày xưa đi học đạp xe qua cứ tưởng được quay phim đưa lên truyền hình :)),Enjoyment,0
lừa cả tỉ đồng mà đóng phạt 5tr :)) thế này thì răn đe cũng,Disgust,3
hay qua hoc theo cho vui,Enjoyment,0
bụng công nhân thành hố chôn lợn dịch,Disgust,3
tươi ngon sạch sẽ thì đéo thích ăn . cứ thích ăn cút trâu cứt bò,Disgust,3
đáng yêu vậy =))),Enjoyment,0
"per lại nữa , tao dg suy nghĩ có nên đi bằng rap về không",Sadness,2
nhìn sợ vãi ra,Fear,1
"bởi vậy , nên tỏ ra là 1 người không cảm xúc",Other,0
cả 1 đời người chẳng mong gì chỉ mong từ đây đến phút cuối vẫn có người không quên mình đã từng tồn tại,Sadness,2
coi mà lộn ruột .,Anger,4
a per doi dap rat tuyet voi . chuc anh thanh cong trong vu nay .,Enjoyment,0
dân kinh doanh khoái đi chợ này lắm nè,Enjoyment,0
tiếc cho mối tình ấy ....,Sadness,2
nhanh bất ngờ đấy,Surprise,0
tao cũng phải về mở cho mẹ tao coi 😂😂,Enjoyment,0
hơi bị nhanh trí :)),Enjoyment,0
giun này mà xào thêm ít xả ớt thì tuyệt cú mèo 🤣,Enjoyment,0
cưng xỉu ??,Enjoyment,0
"ngày trước cái thằng ngồi cạnh nhờ nó né cái mông để lấy cái bút dưới bàn nó nó đéo né . cuối cùng nó phải lên phòng ý tế băng đầu ( lớp 1 🤣) "" tôi đã nợ chàng trai ấy một cái "" đập đầu "" ""🤣",Disgust,3
êu tự ý đụng chạm vào người khác đã là vô duyên hãm lồn rồi . nhất là con gái . bọn này ý thức như đách lol,Disgust,3
nhớ tới mối tình đơn phương !,Sadness,2
dã man quá ..,Fear,1
"nhẹ tay quá phải hơn nữa , may mắn là nó chưa cắn ai hay làm gì ai",Disgust,3
per ly trà sen của anh đem qua có ngày nó thành như v đó 😭😭 hức hức ...,Sadness,2
chẳng bù tuổi thơ tao đi học toàn gặp mấy thằng ông nội mắc thần bố . gặp mặt tao là đánh với bắt nạt tao có trò mới là bắt tao ra thử trước bà mẹ nó :))) cái phường bất lương,Anger,4
per my nè kkk,Enjoyment,0
may không có ai trong nhà,Other,0
ngồi ăn mà 3 đứa cứ nhìn châm châm thế này sao nuốt nổi ??????,Other,0
có gì vui không nhỉ,Other,0
gắn bó thời sinh viên nè,Enjoyment,0
"thôi mày đừng saolol , hoang tưởng thâm niên à , nó mở mồm ra cái là nó đào cả họ hàng mày nên nó chửi cho biết mặt . nhìn lằm nhìn lốn 😒😒",Disgust,3
"haha dần dần phải kiềm chế , khắc phục sẽ không đáng sợ không bằng vũ lực hành động mà nói đâu chết đó :)) kaka",Enjoyment,0
vì mình chỉ là giờ giải lao trong một hiệp chơi chính của họ,Sadness,2
sợ thế,Fear,1
hihi mắc cười quá,Enjoyment,0
"per anh không nặn đi , mai mốt nó sẽ chaii dầy nè hihii :)))",Enjoyment,0
bn tao vẽ đẹp vãi nhưng nó lại mắc bệnh lười nếu nó vẽ thì nó sẽ vẽ he .. n .... tai :v,Other,0
đi chơi còn bỏ quên cả não ấy,Disgust,3
hú hồn chim én :) nào làm ra này chắc cũng ngáo dữ :) chắc add không sợ nhện :),Fear,1
yêu dã man kkk,Enjoyment,0
"đất nước bao nhiêu khoản phải tri trả , nhưng phải trả cho một đám cổ động viên quá khích thì quả là không đáng , các cụ đã bảo mọi sự ngu dốt đều phải trá giá bằng tiền mặt , bảo dân trí thấp lại tự ái :))",Disgust,3
"chỉ là nghe bạn nói , chẳng thấy bằng chứng đâu",Other,0
"hành nó đưa đèn ông sao lên nữa chứ , ác vãi , ta nhớ lại còn cay ?",Anger,4
đẹp trai mà bị đá à =)),Surprise,0
kiểu định share vì thấy tinh thần khá hơn nhưng đọc bình luận xong kiểu nhiều đứa còn tiêu cực hơn mình :<,Sadness,2
đắt quá thôi không ly hôn nữa,Other,0
thôi tốt nhất đừng có diễn . nể nhất mấy bố giả vờ khóc xong ôm ôm lợi dụng rờ mông con gái nhà người ta,Disgust,3
"gặp cái này "" sun "" mẹ nó vào ... :))",Fear,1
"chuẩn . tao mà chơi hoặc làm việc cùng bọn con gái tính công chúa một thời gian thì tao ngày nào cũng sờ troét , sau đó bị trầm cảm .",Fear,1
bé có năng khiếu làm cô giáo dạy văn ... nghe thì nghĩ tục nhưng đời thường là có thật ... bác nghe thấy đồng cảm với các cháu,Sadness,2
nhưng mà người khác nhìn vào bảo thế là lẳng lơ,Disgust,3
nhìn 2 đôi giày đó mà nói 1967 .... thôi thôi !!!!,Other,0
chẳng ai biết và riêng mình càng không muốn biết !,Other,0
"per đoạn thằng kia tán trái sầu riêng , không trượt phát nào 🤣🤣",Enjoyment,0
đấm cho liên tục vào mồm đéo trượt phát lòn nào cả =)),Other,0
bài lồn đó nghe hãm vãi đéo hiểu sao lại thích,Disgust,3
per giống câu chuyện anh kể hôm bữa qua ha ... con chó này 3 lanh thiệt ak ...,Surprise,0
bạn khốn nạn,Anger,4
t mới tính tới bước thất bại chưa tính tới thành công :)),Sadness,2
còn buồn hơn là cố quan tâm thế nào họ vẫn không hề rep lại,Sadness,2
h chỉ pk nhìn họ bên người khác :((,Sadness,2
tao cũng vậy nè . lắm lúc đi với chồng mà cứ hỏi bên này bên phải nhỉ bên này bên trái nhỉ . mệt mỏi,Sadness,2
"66 năm không làm việc nhà giúp vợ hoặc có làm thì cũng phát được , phát không",Disgust,3
buồn cười 😂😂,Enjoyment,0
cãi tay đôi luôn hahhaa,Enjoyment,0
cứ mỗi lần cắt tóc xong tao lại thấy biết ơn bố mẹ vì đã sinh ra tao đzai vãi :))),Enjoyment,0
buồn nào rồi cũng sẽ qua chỉ có buồn ngủ không tha ngày nào thôi,Other,0
per =))))) đúng kiểu sáng tạo :)),Enjoyment,0
"cắt cái tai vứt mẹ cho rồi , gớm chết mẹ",Disgust,3
"ai nói kết có hậu , đầu khấc mất vợ tương lai kia kìa",Sadness,2
"hồi trước nghe câu : "" gái ham tài , trai ham sắc "" nên cố học hành cho nó ham , ai ngờ giờ mới biết nó ham tài sản chứ không phải tài năng .",Disgust,3
thế giới này thật đáng sợ :3 trả đĩa bay cho tôi về đi :3,Fear,1
per đã thích phá game còn thích hổ báo,Disgust,3
"thật ra nó không quên đường về nhà đâu , nó muốn đi bụi thôi",Other,0
t có 2 con bạn thân nó thì cao trọc trời còn tao thì ... . buồn,Sadness,2
đmm cái quần ngàn thu,Disgust,3
per bài của anh luôn nè,Other,0
nhưng liệu như vậy sẽ dễ dàng để người khác xen vào không :),Other,0
xin lô ̃ i chư ́ tao te ́ ma ̀ thă ̀ người lz camera quay câ ̣ n mă ̣ tao như thê ́ thi ̀ tao đe ́ o đa ́ không đâu,Anger,4
em này xinh vãi các bác ạ .,Enjoyment,0
thì ghi bằng tay phải cho nhanh,Other,0
đáng iêu vãi =]],Enjoyment,0
anh tây nói tiếng việt giỏi thiệt .,Surprise,0
có người đến gần cuối đời rồi vẫn còn khổ ! :(,Sadness,2
mày xuống thì xuống mẹ mày đi . ngứa cả mắt 😩😩😩😩😩,Anger,4
phim này hay dã man luôn - có ai biết phim nào kiểu dạng này nữa o 😍😍😍,Enjoyment,0
"dume về bố lại táng cho bờm đầu , có thể là lần cuối được đi xem đá bóng của cháu nó :))",Disgust,3
làm như đứa con gái nào cũng ham tiền . gái tốt thíu gì,Disgust,3
"khuyến cáo "" đừng nên học võ khi không có tiền mua dụng cụ "" per",Other,0
hết muốn ăn luôn,Disgust,3
vợ chồng đã hiểu và sống tốt . thì với tôi ngày nào cũng là ngày tao / y .,Enjoyment,0
gặp bố bố tung phát chụp cây dù bố xiên cho cái đừng hỏi sau tức nước thủng mắt,Anger,4
tha cho cô chú đó đi,Disgust,3
"những người trẻ với tấm lòng nhân hậu , các bạn thật đáng yêu .",Enjoyment,0
nghe cũng đúng đúng :)),Enjoyment,0
chuẩn,Enjoyment,0
"trung thu là tết thiếu nhi , yêu đường gì liên quan ở đây .. gấu với chả bò",Anger,4
waooooo . hợp lí ghe,Enjoyment,0
nhìn thôi đã đau lòng,Sadness,2
ở miền nam nó vẫn không được giá như trước nhưng cũng dư giả,Other,0
per sợ nhện đúng không :)),Fear,1
per sau khi cưới,Other,0
"per bắt được chắc nó mềm xương , chơi mất dạy 😔😔",Anger,4
con này không có cái quần nào mặc cho đàng hoàng 🤦‍♀️,Disgust,3
mấy nay tao cũng bị ám ảnh,Fear,1
"có lần tao thổi cơm không đổ nước lúc khét mở vung ra mới biết , làm đánh đít xong cả tiếng trời không hết",Sadness,2
nhưng đảm bảo coi cái nào là cười sặc cái đó :)) vì nó diễn tệ đến nỗi nó hay,Enjoyment,0
"đúng rồi , tưởng vậy nhưng hóa ra không phải ...",Other,0
dăm ba cái nồi này sao nấu ngon bằng cơm điện nhà tao được . kaka,Enjoyment,0
"phải người vô ý thức , đành rằng người ta làm kiếm tiền nghề gì cũng là nghề mình phải biết tôn trọng người khác , có tôn trọng người thì người mới tôn trọng mình . kể cả người ta đi ăn xin mình cũng cho đoàng hoàng chứ không thể cầm tiền quăng cái víu vào người ta được",Disgust,3
rồi các em cũng ăn cứt thôi :)),Disgust,3
ukm . nguy hiểm thật :'<,Fear,1
quá độc ác,Disgust,3
per tao đã làm cho mày đau lòng nhiều lắm ư 🤔,Sadness,2
đi tù thôi các cháu,Disgust,3
"ghê tởm , ông thầy đó 🙄",Disgust,3
"mày đúng là nên gặp bác sĩ tâm lý , và hoàn toàn nghe theo bác sĩ",Other,0
đm tao biết trước cả sự việc kiểu lìn gì cũng có nhện nhảy lên màn hình . vì mấy năm trước cũng có 1 thể loại giống như vậy . đm hú nhồn,Fear,1
đôi khi công việc không áp lực .... nhưng chính môi trường làm mọi thứ trở nên áp lực,Other,0
hỏi lồn gì lắm thế,Anger,4
bài này hay quá,Surprise,0
hồi đó tao lấy cái đó kẻ tập luôn kiểu làm màu mè cho đẹp xong lên trả bài bị bà cô trừ điểm ????,Sadness,2
"giơ cao đánh khẽ , cảnh cáo cho có lệ",Anger,4
tao thầy mày cười hí hửng vại mà ?,Enjoyment,0
gần 1h đêm là con trai mà xem xong nói chuyện mắt vẫn rỡi 😔😔,Sadness,2
mới có 3 năm thôi mà ... vậy mà chúng ta còn không tụ họp được lần nào cả,Sadness,2
những người như thế này tử hình,Disgust,3
ngôn tình từ anh mà ra,Enjoyment,0
đm phí hết sức :((,Disgust,3
🙁 bị rớt tiền,Sadness,2
"tôi kể các bạn nghe 1 chuyện có dính 1 tý với caphe tn : chuyện thế này ba vợ tôi có 1 người bạn rất khó khắn nghèo và đang trốn nợ , ba tôi cho ông chiếc xe máy củ để đi xe ôm . vợ chồng ông bạn này bỏ quê trốn nợ lên tây nguyên làm công cho nhà máy caphe tn trong 4 năm học được nghề làm caphe và sáng lập caphe tuấn kiệt caphe công thức y chang tn bán hợp lý hơn ! ngày nay ông chủ tuấn kiệt đã là 1 đại gia có nhà máy ở sốc trăng , ông ấy đi tìm và trả nợ từng người ơn của mình ! mổi lần ba tôi lên sg ông đều cho xe tới mời ba tôi đi ăn nhậu ! trong lúc ngà ngà ông ấy nói "" em chả bao giờ uống caphe của em làm , tn cũng vậy "" thế đó",Disgust,3
mong mai sau cũng được như ông bà,Enjoyment,0
nó ngáo đá . nay nó leo cột điện . mợ cứu nó xuống mai nó làm vài mạng người,Disgust,3
nó cười với người khác chứ * beep * phải tao :((,Sadness,2
xem lại quá nhiều lần đến nỗi không nhớ nổi . vì phim quá hay và ý nghĩa .,Enjoyment,0
ahihi khá là buồn cười,Enjoyment,0
t ngắm người yêu tao cười mà càng ngắm tao càng yêu lúc giận cơ nhìn muốn cắn cho mấy phát tao bị cuồng người yêu rồi cái,Enjoyment,0
đừng có xàm lồn trên này,Disgust,3
gặp tao tao thuê giang hồ tới chém hết cả nhà nó luôn,Anger,4
"địt mẹ mày viết lên chỗ nào nước đéo tới ấy , ngulon",Anger,4
"những thứ tưởng chừng như rất đẹp nhưng kbh được trọn vẹn , cuối cùng để lại chỉ là những kỉ niệm đã từng :))",Sadness,2
"ba chàng ngốc , phim ấn độ , cực hài , cực cảm động và ý nghĩa nhé",Enjoyment,0
"1 bộ phim phải nói trên cả tuyệt vời , xem đi xem lại cả chục lần rồi mà không ngán",Enjoyment,0
bây giờ tao lấy chồng rồi còn không có cơ hội ngủ với em gái 😫,Sadness,2
cái mặt cưng xĩu,Enjoyment,0
per đây là chúng mềnh 🤪🤪,Enjoyment,0
ngu như mày thì khỏe,Disgust,3
không biết có ai ở trong ngôi nhà không,Fear,1
hình như cũng mới có vụ bể bình dâu tằm,Other,0
tao bị biến dạng luôn một tay,Sadness,2
